question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation


"Which level of organization is exhibited by members of phylum Porifera?","Cellular level","Tissue level","Organ level","Organ system level","A","biology","Animal Kingdom","easy","Sponges possess cellular level of organization where cells are loosely aggregated."
"Statement I: Cnidarians are diploblastic animals.
Statement II: Cnidarians possess tissue level of organization.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","biology","Animal Kingdom","easy","Cnidarians are diploblastic and exhibit tissue level organization, but tissue level organization does not explain diploblasty."
"Assertion (A): Platyhelminthes are called flatworms.
Reason (R): Their body is dorsoventrally flattened.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Animal Kingdom","easy","The dorsoventrally flattened body gives Platyhelminthes their common name flatworms."
"How many of the following statements are correct?

1. Aschelminthes are pseudocoelomates.
2. Annelids possess a true coelom.
3. Arthropods possess a haemocoel.
4. Platyhelminthes are acoelomates.

Choose the correct option.","1","2","3","4","D","biology","Animal Kingdom","hard","All four statements are correct according to NCERT classification."
"Match the following:

List I
A. Sycon
B. Hydra
C. Ascaris
D. Pheretima

List II
1. Annelida
2. Porifera
3. Cnidaria
4. Aschelminthes

Choose the correct option.","A-2, B-3, C-4, D-1","A-3, B-2, C-4, D-1","A-2, B-4, C-3, D-1","A-1, B-3, C-4, D-2","A","biology","Animal Kingdom","medium","These are standard NCERT examples for the respective phyla."
"Which one of the following animal groups first exhibits organ-system level of organization?","Cnidaria","Platyhelminthes","Annelida","Arthropoda","B","biology","Animal Kingdom","medium","Organ-system level organization first appears in Platyhelminthes."
"Statement I: Adult echinoderms show radial symmetry.
Statement II: Echinoderm larvae are bilaterally symmetrical.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","biology","Animal Kingdom","medium","Both are correct characteristics of echinoderms but one does not explain the other."
"Assertion (A): Arthropoda is the largest phylum in Animal Kingdom.
Reason (R): Arthropods possess jointed appendages and show enormous adaptive radiation.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","biology","Animal Kingdom","hard","Jointed appendages and adaptability contributed greatly to arthropod diversification."
"Identify the incorrect statement regarding chordates.","Chordates possess a dorsal hollow nerve cord.","Chordates possess pharyngeal gill slits at some stage.","Chordates possess a ventral solid nerve cord.","Chordates possess a post-anal tail.","C","biology","Animal Kingdom","medium","Chordates possess a dorsal hollow nerve cord, while non-chordates possess a ventral solid nerve cord."
"According to NCERT, the body cavity completely lined by mesoderm is called:","Pseudocoelom","Blastocoel","Coelom","Haemocoel","C","biology","Animal Kingdom","easy","A true coelom is a body cavity completely lined by mesoderm."



