question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation



"Statement I: A scalar quantity possesses magnitude only.
Statement II: A vector quantity possesses both magnitude and direction.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","physics","Motion in a Plane","easy","These are independent definitions of scalar and vector quantities."
"Assertion (A): Displacement is a vector quantity.
Reason (R): Displacement requires both magnitude and direction for complete specification.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Motion in a Plane","easy","Direction is essential in specifying displacement."
"How many of the following are vector quantities?

1. Velocity
2. Acceleration
3. Force
4. Speed

Choose the correct option.","1","2","3","4","C","physics","Motion in a Plane","easy","Velocity, acceleration and force are vectors, whereas speed is a scalar."
"Match the following:

List I
A. Speed
B. Velocity
C. Work
D. Momentum

List II
1. Scalar
2. Vector
3. Scalar
4. Vector

Choose the correct option.","A-1, B-2, C-3, D-4","A-2, B-1, C-3, D-4","A-1, B-3, C-2, D-4","A-4, B-2, C-1, D-3","A","physics","Motion in a Plane","easy","Speed and work are scalars, while velocity and momentum are vectors."
"Which of the following is a scalar quantity?","Acceleration","Momentum","Power","Displacement","C","physics","Motion in a Plane","easy","Power is scalar because it does not require direction."
"Statement I: Two vectors are equal if they have equal magnitude and same direction.
Statement II: Equal vectors may have different initial points.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","B","physics","Motion in a Plane","medium","Vectors can be shifted parallel to themselves without changing their nature."
"Assertion (A): A null vector has zero magnitude.
Reason (R): A null vector has no definite direction.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Motion in a Plane","medium","A zero vector is considered directionless because its magnitude is zero."
"How many of the following statements are correct?

1. A unit vector has magnitude one.
2. Unit vectors specify direction.
3. The magnitude of a unit vector is dimensionless and equal to one.
4. A unit vector can represent any direction.

Choose the correct option.","1","2","3","4","D","physics","Motion in a Plane","medium","All four statements are correct."
"A vector of magnitude 5 units directed along positive x-axis is represented by:","5i","5j","i + j","5(i+j)","A","physics","Motion in a Plane","medium","The unit vector i represents the positive x-direction."
"Which of the following statements is correct?","The magnitude of a vector can be negative.","The magnitude of a vector is always positive or zero.","The direction of a vector can be negative.","Unit vectors possess dimensions.","B","physics","Motion in a Plane","easy","Magnitude represents size and therefore cannot be negative."




"Statement I: Vector addition is commutative.
Statement II: A + B = B + A for vectors.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","physics","Motion in a Plane","easy","Vector addition follows the commutative law."
"Assertion (A): Vector addition is associative.
Reason (R): (A + B) + C = A + (B + C).
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","physics","Motion in a Plane","easy","The order of grouping does not affect vector addition."
