question,option_a,option_b,option_c,option_d,correct_option,subject,chapter,difficulty,explanation



"Statement I: Dobereiner arranged elements into groups of three called triads.
Statement II: The atomic mass of the middle element was approximately the arithmetic mean of the other two.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Classification of Elements and Periodicity in Properties","easy","Dobereiner observed that the atomic mass of the middle member was approximately equal to the average of the other two."
"Assertion (A): Newlands proposed the law of octaves.
Reason (R): Every eighth element showed properties similar to the first element when arranged in increasing atomic mass.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Classification of Elements and Periodicity in Properties","easy","This periodic repetition after every eighth element formed the basis of Newlands' law."
"How many of the following statements are correct?

1. Mendeleev arranged elements in increasing order of atomic masses.
2. Mendeleev left gaps for undiscovered elements.
3. Mendeleev could explain isotopes successfully.
4. Modern periodic law is based on atomic number.

Choose the correct option.","1","2","3","4","C","chemistry","Classification of Elements and Periodicity in Properties","medium","Statements 1, 2 and 4 are correct. Mendeleev's table could not explain isotopes."
"Match the following:

List I
A. Dobereiner
B. Newlands
C. Mendeleev
D. Moseley

List II
1. Modern periodic law
2. Triads
3. Law of octaves
4. Periodic table based on atomic mass

Choose the correct option.","A-2, B-3, C-4, D-1","A-3, B-2, C-4, D-1","A-2, B-4, C-3, D-1","A-1, B-3, C-4, D-2","A","chemistry","Classification of Elements and Periodicity in Properties","medium","These scientists contributed to the development of the periodic table."
"Which of the following statements represents the modern periodic law?","Properties are periodic functions of atomic mass.","Properties are periodic functions of atomic volume.","Properties are periodic functions of atomic number.","Properties are periodic functions of density.","C","chemistry","Classification of Elements and Periodicity in Properties","easy","Moseley established that periodic properties depend on atomic number."
"Statement I: Isotopes occupy the same position in the modern periodic table.
Statement II: Isotopes possess the same atomic number.
Choose the correct option.","Both statements are true and Statement II explains Statement I","Both statements are true but Statement II does not explain Statement I","Statement I is true but Statement II is false","Statement I is false but Statement II is true","A","chemistry","Classification of Elements and Periodicity in Properties","medium","The modern table is based on atomic number, which is identical for isotopes."
"Assertion (A): Mendeleev predicted the properties of germanium before its discovery.
Reason (R): He left gaps in his periodic table for undiscovered elements.
Choose the correct option.","Both A and R are true and R is the correct explanation of A","Both A and R are true but R is not the correct explanation of A","A is true but R is false","A is false but R is true","A","chemistry","Classification of Elements and Periodicity in Properties","medium","Mendeleev predicted eka-silicon, later discovered as germanium."
"How many of the following statements are correct?

1. The modern periodic table contains 7 periods.
2. The modern periodic table contains 18 groups.
3. Period number corresponds to the highest principal quantum number.
4. Group number of p-block elements can be obtained by adding 10 to valence electrons.

Choose the correct option.","1","2","3","4","D","chemistry","Classification of Elements and Periodicity in Properties","hard","All four statements are correct for main group elements."
"Which block of the periodic table contains the largest number of elements?","s-block","p-block","d-block","f-block","B","chemistry","Classification of Elements and Periodicity in Properties","medium","The p-block contains six groups (13–18) and therefore the largest number of elements."
